station_id,name,lat,lon
252788,Alsterdorf Markt/Evangelische Stiftung,53.6120909,10.0239462
253227,Neuländer Kamp/Eurofins ,53.4616513,10.0041327
253357,Djarkartaweg/Sengelmannstraße,53.609163,10.022685
254723,S Nettelnburg/Friedrich-Frank-Bogen,53.488482,10.182199
254724,Wentorfer Straße/Bezirksamt Bergedorf,53.487427,10.22
254725,Vierlandenstraße/Johann-Adolf-Hasse-Platz,53.488449,10.210913
254726,Lohbrügger Markt/Ludwig-Rosenberg-Ring,53.494675,10.206894
254727,Bahnhof Bergedorf/Johann-Meyer-Straße,53.490496,10.206105
254728,S Allermöhe/Walter-Rudolphi-Weg,53.490126,10.158515
255298,Friedrich-Ebert-Damm/Helbingtwiete,53.588172,10.095665
255299,Charlie-Mills-Straße/Friedrich-Ebert-Damm,53.59145,10.106858
255302,Rahlstedter Weg/Berner Heerweg,53.606246,10.12021
255303,Gründgensstraße/César-Klein-Ring,53.610149,10.058096
255305,Traberweg/Eckerkoppel,53.598017,10.101459
256467,Röntgenstraße/Philips,53.6234809,10.0122088
264330,Bleickenallee/Kinderkrankenhaus Altona,53.5512881,9.9129134
264820,Osterstraße/Heußweg,53.5759831,9.9520709
264821,Bahrenfelder Chaussee/Von-Sauer-Straße,53.5659729,9.9108696
268358,Sieldeich/ Gresham Carat Hotel,53.528309,10.021813999999999
138370,Grindelberg / Bezirksamt Eimsbuettel,53.575384,9.977883
242731,Maretstrasse / Baererstrasse,53.453659,9.982299
